950 lat long pcc pcn mem st bw sd cost service task
1 44.633106 10.939678 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
2 44.625262 10.893088 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
3 44.647793 10.930327 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
4 44.650514 10.938734 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
5 44.654346 10.909586 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
6 44.656694 10.898991 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
7 44.690933 10.969304 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
8 44.633450 10.924301 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
9 44.642667 10.928747 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
10 44.628245 10.808032 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
11 44.602418 10.919662 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
12 44.645322 10.916054 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
13 44.643426 10.891692 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
14 44.849179 11.069823 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
15 44.638755 10.897222 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
16 44.587891 10.946703 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
17 44.644635 10.842004 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
18 44.675135 10.900189 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
19 44.623639 10.935868 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
20 44.627010 10.940864 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
21 44.687798 10.963777 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
22 44.630468 10.935947 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
23 44.644637 10.929353 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
24 44.589114 10.858776 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
25 44.644954 10.925246 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
26 44.726452 10.910250 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
27 44.689813 10.913941 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
28 44.656825 10.875966 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
29 44.661508 10.889147 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
30 44.657739 10.912519 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
31 44.628634 10.939588 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
32 44.675540 11.041978 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
33 44.286752 10.672077 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
34 44.619638 10.941135 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
35 44.287087 10.666050 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
36 44.651896 10.917380 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
37 44.635734 10.947216 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
38 44.571934 10.844666 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
39 44.655313 10.964801 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
40 44.646774 10.921880 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
41 44.600704 10.973442 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
42 44.657643 10.949641 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
43 44.628446 10.914559 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
44 44.656930 10.898282 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
45 44.678402 10.930480 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
46 44.651569 10.867872 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
47 44.662918 10.925206 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
48 44.748232 11.002663 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
49 44.630666 10.909429 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
50 44.641209 10.921766 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
51 44.656308 10.896589 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
52 44.629226 10.927507 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
53 44.661147 10.927231 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
54 44.643386 10.932400 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
55 44.666572 10.892736 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
56 44.662543 10.890877 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
57 44.643496 10.945125 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
58 44.595485 11.035603 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
59 44.659224 10.892006 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
60 44.625435 10.896339 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
61 44.575189 10.919481 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
62 44.635463 10.907084 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
63 44.624635 10.940973 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
64 44.624822 10.945836 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
65 44.638496 10.856699 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
66 44.634172 10.924156 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
67 44.645899 10.907711 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
68 44.632706 10.948055 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
69 44.639802 10.806131 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
70 44.554313 10.797328 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
71 44.639347 10.930972 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
72 44.632474 10.934182 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
73 44.623001 10.924100 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
74 44.662103 10.964165 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
75 44.610405 10.920063 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
76 44.628929 10.888966 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
77 44.536086 10.820911 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
78 44.643508 10.886377 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
79 44.642992 10.964084 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
80 44.632606 10.952201 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
81 44.612079 10.911914 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
82 44.626869 10.925723 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
83 44.343638 10.729244 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
84 44.636847 10.905362 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
85 44.651573 10.902624 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
86 44.884381 11.060460 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
87 44.625980 10.944816 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
88 44.655157 10.937415 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
89 44.656471 10.939548 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
90 44.668201 10.936144 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
91 44.654059 10.906719 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
92 44.633658 10.900076 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
93 44.641038 10.891075 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
94 44.636720 10.901462 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
95 44.601834 10.957643 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
96 44.650462 10.919184 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
97 44.637160 10.934742 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
98 44.578835 10.829993 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
99 44.619716 10.928593 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
100 44.641515 10.891953 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
101 44.632772 10.899272 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
102 44.609558 10.850379 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
103 44.696834 10.889165 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
104 44.660988 10.921575 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
105 44.631655 10.971580 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
106 44.538036 10.793516 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
107 44.626914 10.907268 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
108 44.636345 10.904913 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
109 44.635266 10.928746 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
110 44.639521 10.911066 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
111 44.630800 10.902486 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
