100 LAT LONG PCC PCN MEM ST BW COST TP
1 44.627679 10.905275 3.2 2 69.2096 872.1548 0 0.00085 7.8125 
2 44.645212 10.845204 17.4 6 8.1608 104.82494 0 0.00121 4.31034 
3 44.636184 10.894112 24 8 47.60555 134.95326 0 0.00138 4.16667 
4 44.657989 10.915088 3.2 2 18.41298 80.03536 0 0.00085 7.8125 
5 44.737869 10.927290 3.2 2 117.25214 954.70149 0 0.00085 7.8125 
6 44.644980 10.935084 30 10 28.62478 452.60837 0 0.00153 4.16667 
7 44.663952 10.925380 17.4 6 113.90376 36.90785 0 0.00121 4.31034 
8 44.643388 10.930879 9.2 4 100.9906 429.47633 0 0.00097 5.43478 
9 44.660017 10.922206 9.2 4 117.7217 627.93466 0 0.00097 5.43478 
10 44.549887 10.943770 24 8 7.13475 215.92134 0 0.00138 4.16667 
11 44.535392 10.795644 3.2 2 1.1192 202.73956 0 0.00085 7.8125 
12 44.636083 10.908446 24 8 97.56955 843.96909 0 0.00138 4.16667 
13 44.644655 10.914930 17.4 6 2.97059 638.33571 0 0.00121 4.31034 
14 44.577738 10.839587 3.2 2 43.66791 112.50967 0 0.00085 7.8125 
15 44.660125 10.884774 9.2 4 91.21587 359.59545 0 0.00097 5.43478 
16 44.642818 10.895363 3.2 2 35.33176 870.33734 0 0.00085 7.8125 
17 44.553794 10.778387 3.2 2 119.27516 655.18 0 0.00085 7.8125 
18 44.741874 10.923151 30 10 25.13941 962.89198 0 0.00153 4.16667 
19 44.627163 10.938222 24 8 75.332 895.55345 0 0.00138 4.16667 
20 44.642706 10.890372 30 10 58.0541 806.74314 0 0.00153 4.16667 
21 44.640622 10.969588 9.2 4 83.81751 513.46076 0 0.00097 5.43478 
22 44.618301 10.825300 9.2 4 21.85826 35.63496 0 0.00097 5.43478 
23 44.657179 10.898772 30 10 92.50279 844.70655 0 0.00153 4.16667 
24 44.629848 10.936623 3.2 2 35.84023 339.90157 0 0.00085 7.8125 
25 44.603185 10.969607 3.2 2 113.60633 341.24866 0 0.00085 7.8125 
26 44.884673 11.069750 3.2 2 60.90228 981.38725 0 0.00085 7.8125 
27 44.625376 10.918105 30 10 96.48654 685.24166 0 0.00153 4.16667 
28 44.642795 10.939353 30 10 55.37779 729.83178 0 0.00153 4.16667 
29 44.649701 10.892467 9.2 4 6.70568 186.43342 0 0.00097 5.43478 
30 44.637655 10.924026 3.2 2 91.51161 922.17048 0 0.00085 7.8125 
31 44.685437 10.894296 3.2 2 52.43492 580.56077 0 0.00085 7.8125 
32 44.642547 10.944128 24 8 19.16143 879.08295 0 0.00138 4.16667 
33 44.629040 10.975422 24 8 28.50323 342.50384 0 0.00138 4.16667 
34 44.630032 10.960077 3.2 2 3.34284 412.5947 0 0.00085 7.8125 
35 44.637512 10.954229 17.4 6 87.60018 301.6002 0 0.00121 4.31034 
36 44.642593 10.930274 30 10 121.44213 406.82595 0 0.00153 4.16667 
37 44.662683 10.962235 9.2 4 71.35214 19.16182 0 0.00097 5.43478 
