250 lat long pcc pcn mem st bw sd cost service task
1 44.633106 10.939678 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
2 44.623070 10.913917 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
3 44.650514 10.938734 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
4 44.647465 10.926259 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
5 44.661734 10.894775 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
6 44.602418 10.919662 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
7 44.710831 10.893089 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
8 44.620512 10.912136 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
9 44.632033 10.921797 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
10 44.588975 10.953107 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
11 44.687798 10.963777 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
12 44.639677 10.958649 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
13 44.644954 10.925246 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
14 44.726452 10.910250 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
15 44.655052 10.895586 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
16 44.669187 10.901785 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
17 44.637011 10.903547 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
18 44.656825 10.875966 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
19 44.500456 11.021603 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
20 44.666557 10.913467 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
21 44.624223 10.973547 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
22 44.641964 10.923701 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
23 44.661676 10.923367 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
24 44.635734 10.947216 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
25 44.646774 10.921880 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
26 44.657643 10.949641 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
27 44.621012 10.917444 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
28 44.628446 10.914559 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
29 44.611158 10.892885 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
30 44.748232 11.002663 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
31 44.630666 10.909429 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
32 44.641209 10.921766 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
33 44.645527 10.929868 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
34 44.656308 10.896589 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
35 44.549662 10.933736 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
36 44.644582 10.916699 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
37 44.704257 10.946627 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
38 44.659224 10.892006 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
39 44.634073 10.933342 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
40 44.625435 10.896339 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
41 44.624635 10.940973 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
42 44.621414 10.938813 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
43 44.639686 10.959344 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
44 44.639347 10.930972 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
45 44.788902 11.135891 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
46 44.643971 10.898794 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
47 44.536086 10.820911 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
48 44.650766 10.895095 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
49 44.639516 10.937508 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
50 44.612079 10.911914 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
51 44.636847 10.905362 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
52 44.640399 10.963117 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
53 44.643971 10.931975 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
54 44.603614 10.968888 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
55 44.668201 10.936144 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
56 44.601834 10.957643 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
57 44.585900 10.971445 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
58 44.578835 10.829993 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
59 44.619716 10.928593 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
60 44.641515 10.891953 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
61 44.670502 10.934840 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
62 44.609558 10.850379 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
63 44.615921 10.927205 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
64 44.636345 10.904913 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
65 44.635266 10.928746 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
66 44.626914 10.907268 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
67 44.630800 10.902486 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
68 44.688568 10.916532 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
69 44.640750 10.819774 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
70 44.657931 10.878713 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
71 44.638321 10.908776 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
72 44.602478 10.860014 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
73 44.641862 10.832317 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
74 44.641242 10.890510 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
75 44.635966 10.934109 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
