800 lat long pcc pcn mem st bw sd cost service task
1 44.625262 10.893088 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
2 44.647793 10.930327 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
3 44.650514 10.938734 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
4 44.654346 10.909586 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
5 44.656694 10.898991 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
6 44.690933 10.969304 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
7 44.633450 10.924301 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
8 44.642667 10.928747 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
9 44.628245 10.808032 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
10 44.602418 10.919662 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
11 44.849179 11.069823 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
12 44.638755 10.897222 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
13 44.587891 10.946703 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
14 44.623639 10.935868 2.18337 3 2.86092 12.87719 0 9.76457 7.3525 1 2 
15 44.627010 10.940864 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
16 44.687798 10.963777 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
17 44.630468 10.935947 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
18 44.644637 10.929353 1.26791 1 3.04286 21.33838 0 7.54948 3.3550 2 2 
19 44.589114 10.858776 0.71682 4 0.55814 11.9808 0 0.97351 9.3325 3 1 
20 44.644954 10.925246 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
21 44.689813 10.913941 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
22 44.656825 10.875966 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
23 44.661508 10.889147 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
24 44.657739 10.912519 1.61198 2 1.87511 14.73976 0 4.65248 5.3325 5 1 
25 44.628634 10.939588 6.17007 1 7.85673 37.57603 0 6.59389 3.7975 4 4 
