10 LAT LONG PCC PCN MEM ST BW COST TP
1 44.627679 10.905275 30 10 6.77289 360.02705 0 0.00153 4.16667 
2 44.645212 10.845204 24 8 94.10166 744.82213 0 0.00138 4.16667 
3 44.636184 10.894112 9.2 4 15.46659 119.35194 0 0.00097 5.43478 
4 44.657989 10.915088 24 8 2.65671 259.61441 0 0.00138 4.16667 
5 44.737869 10.927290 24 8 5.94491 334.26232 0 0.00138 4.16667 
6 44.644980 10.935084 3.2 2 108.55407 372.80215 0 0.00085 7.8125 
7 44.663952 10.925380 3.2 2 14.54295 617.00504 0 0.00085 7.8125 
8 44.643388 10.930879 9.2 4 100.56964 247.5273 0 0.00097 5.43478 
9 44.660017 10.922206 30 10 2.9119 259.47407 0 0.00153 4.16667 
10 44.549887 10.943770 3.2 2 22.28933 821.47264 0 0.00085 7.8125 
